0000C5	Commscope
0000CA	Commscope
000130	Extreme Networks, Inc.
0003E0	Commscope
00043C	SONOS Co., Ltd.
00045A	The Linksys Group, Inc.
00047D	Motorola Solutions Inc.
000496	Extreme Networks, Inc.
0004BD	Commscope
00055D	D-Link Systems, Inc.
000625	The Linksys Group, Inc.
00080E	Commscope
00090F	Fortinet, Inc.
00095B	Netgear
000A28	Motorola
000AEB	Tp-Link Technologies Co.,Ltd.
000B06	Commscope
000B86	Hewlett Packard Enterprise
000C41	Cisco-Linksys, LLC
000C42	Routerboard.com
000C6E	ASUSTek COMPUTER INC.
000CE5	Commscope
000CE6	Fortinet, Inc.
000D88	D-Link Corporation
000E08	Cisco-Linksys, LLC
000E58	Sonos, Inc.
000E59	Sagemcom Broadband SAS
000E5C	Commscope
000E8F	Sercomm Corporation.
000EA6	ASUSTek COMPUTER INC.
000EC7	Motorola Korea
000F3D	D-Link Corporation
000F66	Cisco-Linksys, LLC
000F9F	Commscope
000FB3	Actiontec Electronics, Inc
000FB5	Netgear
000FCC	Commscope
00111A	Commscope
00112F	ASUSTek COMPUTER INC.
001150	Belkin Corporation
001180	Commscope
001195	D-Link Corporation
0011AE	Commscope
0011D8	ASUSTek COMPUTER INC.
0011F5	Askey Computer Corp
001217	Cisco-Linksys, LLC
001225	Commscope
00128A	Commscope
0012BF	Arcadyan Corporation
0012C9	Commscope
001310	Cisco-Linksys, LLC
001311	Commscope
001346	D-Link Corporation
001349	Zyxel Communications Corporation
001371	Commscope
001392	Ruckus Wireless
0013D4	ASUSTek COMPUTER INC.
001404	Commscope
001438	Hewlett Packard Enterprise
00146C	Netgear
001478	Tp-Link Technologies Co.,Ltd.
00149A	Commscope
0014BF	Cisco-Linksys, LLC
0014E8	Commscope
001505	Actiontec Electronics, Inc
00152F	Commscope
001556	Sagemcom Broadband SAS
00156D	Ubiquiti Inc
001596	Commscope
00159A	Commscope
0015A2	Commscope
0015A3	Commscope
0015A4	Commscope
0015A8	Commscope
0015CE	Commscope
0015CF	Commscope
0015D0	Commscope
0015D1	Commscope
0015E9	D-Link Corporation
0015F2	ASUSTek COMPUTER INC.
001626	Commscope
001675	Commscope
0016B5	Commscope
0016B6	Cisco-Linksys, LLC
0016E3	Askey Computer Corp
001700	Commscope
001731	ASUSTek COMPUTER INC.
00173F	Belkin International Inc.
001784	Commscope
00179A	D-Link Corporation
0017E2	Commscope
0017EE	Commscope
001801	Actiontec Electronics, Inc
001839	Cisco-Linksys, LLC
00184D	Netgear
001885	Motorola Solutions Inc.
0018A4	Commscope
0018C0	Commscope
0018F3	ASUSTek COMPUTER INC.
0018F8	Cisco-Linksys, LLC
00192C	Commscope
00194B	Sagemcom Broadband SAS
00195B	D-Link Corporation
00195E	Commscope
001977	Extreme Networks, Inc.
0019A6	Commscope
0019C0	Commscope
0019CB	Zyxel Communications Corporation
0019E0	Tp-Link Technologies Co.,Ltd.
001A11	Google, Inc.
001A1B	Commscope
001A1E	Hewlett Packard Enterprise
001A2A	Arcadyan Corporation
001A66	Commscope
001A70	Cisco-Linksys, LLC
001A77	Commscope
001A92	ASUSTek COMPUTER INC.
